VarName,ready,Conventions,category,orig_order,index_function,N_parameters,parameter_name,N_inputs,allowed_freq,default_freq,OUTPUT_standard_name,OUTPUT_standard_name_table_version,OUTPUT_proposed_standard_name,OUTPUT_cell_methods,OUTPUT_long_name,OUTPUT_canonical_units,OUTPUT_units,OUTPUT_user_units,OUTPUT_reference,PARAMETER_definition,PARAMETER_VarName,PARAMETER_standard_name,PARAMETER_value,PARAMETER_units,PARAMETER_relop,INPUT_variable,INPUT_timeresol,INPUT_standard_name,INPUT_cell_methods,ET_short_name,ET_long_name,ET_definition,ET_comment,,,,,,,,,,,
gsl,0,NOT,1,38,growing [spell_length],2,"gsstart, gsend",1,ann,ann,_,_,??????,time: mean within days time: sum over days (between start and end of vegetationseason),ETCCDI Growing Season Length (Tmean > 5C),second,day,days,ETCCDI,,"threshold_days, threshold_temperature","??????, ??????","6, 5","day, degree_Celsius",">, <",tas,day,air_temperature,time: mean,gsl,Growing season length,"Annual (1st Jan to 31st Dec in NH, 1st July to 30st June in SH) count between first span of at least 6 days with TM>5ºC and first span after July 1 (January 1 in SH) of 6 days with TM<5C",_,,,,,,,,,,,
gsstart,0,NOT,"2,5",39,growing [spell_beginning],3,"threshold, duration, offset",1,ann,ann,_,_,??????,time: mean within days time: ??????,Start of ETCCDI Growing Season (6 days with Tmean > 5C),day_of_year,day_of_year,day_of_year,CLIPC,,"threshold_days, threshold_temp, offset","??????, ??????","6, 5","day, degree_Celsius, day",">, >, _",tas,day,air_temperature,time: mean,_,_,_,_,,,,,,,,,,,
gsend,0,NOT,"2,5",40,growing [spell_end],3,"threshold, duration, offset",1,ann,ann,_,_,??????,time: mean within days time: ??????,End of ETCCDI Growing Season (6 days with Tmean < 5C),day_of_year,day_of_year,day_of_year,CLIPC,,"threshold_days, threshold_temp, offset","??????, ??????","6, 5","day, degree_Celsius, day",">, <, _",tas,day,air_temperature,time: mean,_,_,_,_,,,,,,,,,,,
gsgdd,0,NOT,"2,7",41,growing [degreesum],2,"threshold, gsstart, gsend",1,ann,ann,integral_of_air_temperature_excess_wrt_time,_,??????,time: mean within days time: sum over days,Degree Days (Tmean >5C) during ETCCDI Growing Season,Kelvin second,degree_Celsius day,degree_Celsius day,CLIPC,,"threshold_days, threshold_temp","??????, ??????","6, 5","day, degree_Celsius",">, >",tas,day,air_temperature,time: mean,_,_,_,_,,,,,,,,,,,
txx,1,CF-1.5,1,42,statistics,1,reducer,1,ann/sea/mon,ann,air_temperature,v65,,time: maximum within days time: maximum over days,Maximum daily maximum temperature,Kelvin,degree_Celsius,degree_Celsius,ETCCDI,reducer: maximum,,,,,,tasmax,day,air_temperature,time: maximum,txx,Maximum daily maximum temperature,Maximum value of daily TX,maximum of daily maximum temperature,,,,,,,,,,,FUN_max
tnx,1,CF-1.5,1,43,statistics,1,reducer,1,ann/sea/mon,ann,air_temperature,v65,,time: minimum within days time: maximum over days,Maximum daily minimum temperature,Kelvin,degree_Celsius,degree_Celsius,ETCCDI,reducer: maximum,,,,,,tasmin,day,air_temperature,time: minimum,tnx,Maximum daily minimum temperature,Maximum value of daily TN,maximum of daily minimum temperature,,,,,,,,,,,FUN_max
txn,1,CF-1.5,1,44,statistics,1,reducer,1,ann/sea/mon,ann,air_temperature,v65,,time: maximum within days time: minimum over days,Minimum daily maximum temperature,Kelvin,degree_Celsius,degree_Celsius,ETCCDI,reducer: minimum,,,,,,tasmax,day,air_temperature,time: maximum,txn,Minimum daily maximum temperature,Minimum value of daily TX,minimum of daily maximum temperature,,,,,,,,,,,FUN_min
tnn,1,CF-1.5,1,45,statistics,1,reducer,1,ann/sea/mon,ann,air_temperature,v65,,time: minimum within days time: minimum over days,Minimum daily minimum temperature,Kelvin,degree_Celsius,degree_Celsius,ETCCDI,reducer: minimum,,,,,,tasmin,day,air_temperature,time: minimum,tnn,Minimum daily minimum temperature,Minimum value of daily TN,minimum of daily minimum temperature,,,,,,,,,,,FUN_min
txmax,1,CF-1.5,3,46,statistics,1,reducer,1,ann/sea/mon,ann,air_temperature,v65,,time: maximum within days time: maximum over days,Maximum daily maximum temperature,Kelvin,degree_Celsius,degree_Celsius,CLIPC,reducer: maximum,,,,,,tasmax,day,air_temperature,time: maximum,_,_,_,mean of daily maximum temperature,,,,,,,,,,,FUN_max
tnmax,1,CF-1.5,3,47,statistics,1,reducer,1,ann/sea/mon,ann,air_temperature,v65,,time: minimum within days time: maximum over days,Maximum daily minimum temperature,Kelvin,degree_Celsius,degree_Celsius,CLIPC,reducer: maximum,,,,,,tasmin,day,air_temperature,time: maximum,_,_,_,mean of daily minimum temperature,,,,,,,,,,,FUN_max
